# Dummy Data Generator
# Created on	2026-01-26 12:57:22.520240
# Device: Test Power Meter
#
# Parameters:
# P1_offset	0.5
# P2_offset	0.2
# Noise_level	0.01
#
#
#
#
#
# End of metadata
Index	Date	Time	Power1 (W)	Power2 (W)	Status
47	2026-01-26	12:57:27.220	1.064900	0.466175	OK
48	2026-01-26	12:57:27.320	1.041272	0.459925	OK
49	2026-01-26	12:57:27.420	1.076919	0.461319	OK
50	2026-01-26	12:57:27.520	1.034066	0.472336	OK
51	2026-01-26	12:57:27.620	0.942803	0.482768	OK
52	2026-01-26	12:57:27.720	1.012217	0.495781	OK
53	2026-01-26	12:57:27.820	1.069078	0.521870	OK
54	2026-01-26	12:57:27.920	0.936042	0.507817	OK
55	2026-01-26	12:57:28.020	1.044513	0.534937	OK
56	2026-01-26	12:57:28.120	1.089975	0.526311	OK
57	2026-01-26	12:57:28.220	0.911032	0.544279	OK
58	2026-01-26	12:57:28.320	1.068003	0.512164	OK
59	2026-01-26	12:57:28.420	1.095191	0.513630	OK
60	2026-01-26	12:57:28.520	1.003394	0.488492	OK
61	2026-01-26	12:57:28.620	1.053304	0.527420	OK
62	2026-01-26	12:57:28.720	1.080211	0.454013	OK
63	2026-01-26	12:57:28.820	0.924085	0.452489	OK
64	2026-01-26	12:57:28.920	1.068978	0.508342	OK
65	2026-01-26	12:57:29.020	1.092224	0.536176	OK
66	2026-01-26	12:57:29.120	1.059697	0.516905	OK
67	2026-01-26	12:57:29.220	0.979146	0.498372	OK
68	2026-01-26	12:57:29.320	0.907992	0.468243	OK
69	2026-01-26	12:57:29.420	0.951076	0.534494	OK
70	2026-01-26	12:57:29.520	0.930616	0.490708	OK
71	2026-01-26	12:57:29.620	0.929955	0.473550	OK
72	2026-01-26	12:57:29.720	0.964765	0.478814	OK
73	2026-01-26	12:57:29.820	0.919934	0.489391	OK
74	2026-01-26	12:57:29.920	0.982652	0.475399	OK
75	2026-01-26	12:57:30.020	0.908996	0.483093	OK
76	2026-01-26	12:57:30.120	0.983242	0.460550	OK
77	2026-01-26	12:57:30.220	0.950232	0.488594	OK
78	2026-01-26	12:57:30.320	1.033008	0.512851	OK
79	2026-01-26	12:57:30.420	1.016861	0.451283	OK
80	2026-01-26	12:57:30.520	1.001444	0.462775	OK
81	2026-01-26	12:57:30.620	1.033664	0.470345	OK
82	2026-01-26	12:57:30.720	1.040008	0.492321	OK
83	2026-01-26	12:57:30.820	1.024308	0.458520	OK
84	2026-01-26	12:57:30.920	0.964906	0.549112	OK
85	2026-01-26	12:57:31.020	1.036697	0.536757	OK
86	2026-01-26	12:57:31.120	1.050162	0.461818	OK
87	2026-01-26	12:57:31.220	0.944297	0.487697	OK
88	2026-01-26	12:57:31.320	0.960238	0.520334	OK
89	2026-01-26	12:57:31.420	1.006704	0.470038	OK
90	2026-01-26	12:57:31.520	1.072336	0.460019	OK
91	2026-01-26	12:57:31.620	1.082624	0.504342	OK
92	2026-01-26	12:57:31.720	1.037323	0.514494	OK
93	2026-01-26	12:57:31.820	0.947758	0.454286	OK
94	2026-01-26	12:57:31.920	0.922277	0.459370	OK
95	2026-01-26	12:57:32.020	1.091924	0.461899	OK
96	2026-01-26	12:57:32.120	0.906816	0.528020	OK
97	2026-01-26	12:57:32.220	1.049307	0.540211	OK
98	2026-01-26	12:57:32.320	0.992518	0.479651	OK
99	2026-01-26	12:57:32.420	1.073706	0.523464	OK
